TF,Target,Regulation
H-NS,nirC,-
IHF,nirC,-
IHF,nirC,+
NarL,nirC,+
NarP,nirC,+
Cra,nirD,-
CRP,nirD,-
Fis,nirD,-
FNR,nirD,+
H-NS,nirD,-
IHF,nirD,-
IHF,nirD,+
NarL,nirD,+
NarP,nirD,+
CsgD,nlpA,+
CRP,nlpE,-
CRP,nmpC,+
IHF,nmpC,-
MprA,nmpC,-
OmpR,nmpC,-
Fur,nohA,-
NsrR,NorR,-
FNR,norV,-
IHF,norV,-
IHF,norV,+
NarL,norV,-
NarP,norV,-
NorR,norV,+
FNR,norW,-
IHF,norW,-
IHF,norW,+
NarL,norW,-
NarP,norW,-
NorR,norW,+
ArgP,nrdA,+
CRP,nrdA,+
DnaA,nrdA,+
DnaA,nrdA,-
Fis,nrdA,+
H-NS,nrdA,-
NrdR,nrdA,-
ArgP,nrdB,+
CRP,nrdB,+
DnaA,nrdB,-
DnaA,nrdB,+
Fis,nrdB,+
H-NS,nrdB,-
NrdR,nrdB,-
FNR,nrdD,+
H-NS,nrdD,-
NrdR,nrdD,-
Fur,nrdE,-
IscR,nrdE,+
NrdR,nrdE,-
Fur,nrdF,-
IscR,nrdF,+
NrdR,nrdF,-
FNR,nrdG,+
H-NS,nrdG,-
NrdR,nrdG,-
Fur,nrdH,-
IscR,nrdH,+
NrdR,nrdH,-
Fur,nrdI,-
IscR,nrdI,+
NrdR,nrdI,-
Fis,nrfA,-
FlhDC,nrfA,+
FNR,nrfA,+
IHF,nrfA,-
IHF,nrfA,+
NarL,nrfA,+
NarL,nrfA,-
NarP,nrfA,+
NsrR,nrfA,-
Fis,nrfB,-
FlhDC,nrfB,+
FNR,nrfB,+
IHF,nrfB,-
IHF,nrfB,+
NarL,nrfB,-
NarL,nrfB,+
NarP,nrfB,+
NsrR,nrfB,-
Fis,nrfC,-
FlhDC,nrfC,+
FNR,nrfC,+
IHF,nrfC,-
IHF,nrfC,+
NarL,nrfC,-
NarL,nrfC,+
NarP,nrfC,+
NsrR,nrfC,-
Fis,nrfD,-
FlhDC,nrfD,+
FNR,nrfD,+
IHF,nrfD,+
IHF,nrfD,-
NarL,nrfD,+
NarL,nrfD,-
NarP,nrfD,+
NsrR,nrfD,-
Fis,nrfE,-
FlhDC,nrfE,+
FNR,nrfE,+
IHF,nrfE,-
IHF,nrfE,+
NarL,nrfE,+
NarL,nrfE,-
NarP,nrfE,+
NsrR,nrfE,-
Fis,nrfF,-
FlhDC,nrfF,+
FNR,nrfF,+
IHF,nrfF,-
IHF,nrfF,+
NarL,nrfF,+
NarL,nrfF,-
NarP,nrfF,+
NsrR,nrfF,-
Fis,nrfG,-
FlhDC,nrfG,+
FNR,nrfG,+
IHF,nrfG,+
IHF,nrfG,-
NarL,nrfG,+
NarL,nrfG,-
NarP,nrfG,+
NsrR,nrfG,-
ArcA,nuoA,-
Fis,nuoA,+
FNR,nuoA,-
IHF,nuoA,-
NarL,nuoA,+
ArcA,nuoB,-
Fis,nuoB,+
FNR,nuoB,-
IHF,nuoB,-
NarL,nuoB,+
ArcA,nuoC,-
Fis,nuoC,+
FNR,nuoC,-
IHF,nuoC,-
NarL,nuoC,+
ArcA,nuoE,-
Fis,nuoE,+
FNR,nuoE,-
IHF,nuoE,-
NarL,nuoE,+
ArcA,nuoF,-
Fis,nuoF,+
FNR,nuoF,-
IHF,nuoF,-
NarL,nuoF,+
ArcA,nuoG,-
Fis,nuoG,+
FNR,nuoG,-
IHF,nuoG,-
NarL,nuoG,+
ArcA,nuoH,-
Fis,nuoH,+
FNR,nuoH,-
IHF,nuoH,-
NarL,nuoH,+
ArcA,nuoI,-
Fis,nuoI,+
FNR,nuoI,-
IHF,nuoI,-
NarL,nuoI,+
ArcA,nuoJ,-
Fis,nuoJ,+
FNR,nuoJ,-
IHF,nuoJ,-
NarL,nuoJ,+
ArcA,nuoK,-
Fis,nuoK,+
FNR,nuoK,-
IHF,nuoK,-
NarL,nuoK,+
ArcA,nuoL,-
Fis,nuoL,+
FNR,nuoL,-
IHF,nuoL,-
NarL,nuoL,+
ArcA,nuoM,-
Fis,nuoM,+
FNR,nuoM,-
IHF,nuoM,-
NarL,nuoM,+
ArcA,nuoN,-
Fis,nuoN,+
FNR,nuoN,-
IHF,nuoN,-
NarL,nuoN,+
CRP,nupC,+
CytR,nupC,-
Nac,nupC,+
CRP,nupG,+
CRP,nupG,-
CytR,nupG,-
DeoR,nupG,-
ArgR,nusA,-
CRP,nusA,-
Fis,nusA,+
Fis,ogt,-
NarL,ogt,+
CRP,ompA,+
CpxR,ompC,+
EnvY,ompC,+
IHF,ompC,-
Lrp,ompC,-
OmpR,ompC,+
YjjQ,ompC,-
CpxR,ompF,-
CRP,ompF,+
EnvY,ompF,+
Fur,ompF,+
IHF,ompF,-
IHF,ompF,+
OmpR,ompF,-
OmpR,ompF,+
PhoB,ompF,+
RstA,ompF,-
SoxS,ompN,+
CRP,OmpR,+
CRP,OmpR,-
IHF,OmpR,-
PhoP,ompT,+
FNR,ompW,+
FNR,ompX,-
OmpR,omrA,+
OmpR,omrB,+
ArcA,oppA,-
FliA,oppA,+
Fur,oppA,-
Lrp,oppA,-
ModE,oppA,-
ArcA,oppB,-
FliA,oppB,+
Fur,oppB,-
Lrp,oppB,-
ModE,oppB,-
ArcA,oppC,-
FliA,oppC,+
Fur,oppC,-
Lrp,oppC,-
ModE,oppC,-
ArcA,oppD,-
FliA,oppD,+
Fur,oppD,-
Lrp,oppD,-
ModE,oppD,-
ArcA,oppF,-
FliA,oppF,+
Fur,oppF,-
Lrp,oppF,-
ModE,oppF,-
RcsB,osmB,+
H-NS,osmC,-
Lrp,osmC,+
Lrp,osmC,-
NhaR,osmC,+
RcsB,osmC,+
Fis,osmE,-
IHF,osmE,-
CRP,osmY,-
Fis,osmY,-
FliZ,osmY,-
IHF,osmY,-
Lrp,osmY,-
EvgA,oxc,+
CRP,OxyR,+
OxyR,oxyS,+
CRP,paaA,+
IHF,paaA,+
PaaX,paaA,-
CRP,paaB,+
IHF,paaB,+
PaaX,paaB,-
CRP,paaC,+
IHF,paaC,+
PaaX,paaC,-
CRP,paaD,+
IHF,paaD,+
PaaX,paaD,-
CRP,paaE,+
IHF,paaE,+
PaaX,paaE,-
CRP,paaF,+
IHF,paaF,+
PaaX,paaF,-
CRP,paaG,+
IHF,paaG,+
PaaX,paaG,-
CRP,paaH,+
IHF,paaH,+
PaaX,paaH,-
CRP,paaI,+
IHF,paaI,+
PaaX,paaI,-
CRP,paaJ,+
IHF,paaJ,+
PaaX,paaJ,-
CRP,paaK,+
IHF,paaK,+
PaaX,paaK,-
PaaX,paaY,-
CRP,paaZ,+
IHF,paaZ,+
PaaX,paaZ,-
PhoP,pagP,+
NtrC,patA,+
Nac,patD,+
CRP,patZ,+
Cra,pck,+
CRP,pck,+
CRP,pck,-
FNR,pdeF,+
FlhDC,pdeH,+
FliA,pdeH,+
Cra,pdeL,-
FliZ,pdeR,-
RutR,pdeR,-
Cra,PdhR,-
CRP,PdhR,+
Fis,pdxA,+
CsgD,pepD,-
FNR,pepT,+
Cra,pfkA,-
ArcA,pflB,+
CRP,pflB,+
Fis,pflB,-
FNR,pflB,+
IHF,pflB,+
NarL,pflB,-
NhaR,pgaA,+
OmpR,pgaA,-
NhaR,pgaB,+
OmpR,pgaB,-
NhaR,pgaC,+
OmpR,pgaC,-
NhaR,pgaD,+
OmpR,pgaD,-
SoxS,pgi,+
Cra,pgk,-
CRP,pgk,+
HU,pgm,-
NsrR,pgpC,-
FNR,pheM,-
NsrR,pheM,-
NsrR,pheS,-
NsrR,pheT,-
Fis,pheU,+
Fis,pheV,+
PhoB,phnC,+
PhoB,phnD,+
PhoB,phnE_1,+
PhoB,phnE_2,+
PhoB,phnF,+
PhoB,phnG,+
PhoB,phnH,+
PhoB,phnI,+
PhoB,phnJ,+
PhoB,phnK,+
PhoB,phnL,+
PhoB,phnM,+
PhoB,phnN,+
PhoB,phnO,+
PhoB,phnP,+
PhoB,phoA,+
PhoB,phoE,+
PhoB,phoH,+
PhoB,phoQ,+
PhoP,phoQ,-
PhoP,phoQ,+
PhoB,phoR,+
FNR,phoU,+
IHF,phoU,+
PhoB,phoU,+
LexA,phr,-
FNR,pitA,+
PhoB,pitB,-
CRP,pncB,-
NadR,pncB,-
ArgR,pnp,-
CRP,pnp,-
Fis,pnp,+
NadR,pnuC,-
DnaA,polA,+
LexA,polB,-
NtrC,potF,+
NtrC,potG,+
NtrC,potH,+
NtrC,potI,+
Cra,poxB,+
MarA,poxB,+
SoxS,poxB,+
Cra,ppc,-
FlhDC,ppdA,+
FliA,ppdA,+
FlhDC,ppdB,+
FliA,ppdB,+
FlhDC,ppdC,+
FliA,ppdC,+
CRP,ppdD,+
CpxR,ppiA,+
CRP,ppiA,-
CytR,ppiA,-
CpxR,ppiD,+
Cra,ppsA,+
MarA,pqiA,+
SoxS,pqiA,+
MarA,pqiB,+
SoxS,pqiB,+
CRP,preA,+
CRP,preT,+
ArcA,prfA,+
FNR,prfA,-
IHF,prfA,+
CRP,priB,+
ArcA,prmC,+
FNR,prmC,-
IHF,prmC,+
Fis,proK,+
Fis,proL,+
Fis,proM,+
CRP,proP,+
CRP,proP,-
Fis,proP,+
H-NS,proV,-
IHF,proV,+
H-NS,proW,-
IHF,proW,+
H-NS,proX,-
IHF,proX,+
Cra,prpB,-
CRP,prpB,+
PrpR,prpB,+
Cra,prpC,-
CRP,prpC,+
PrpR,prpC,+
Cra,prpD,-
CRP,prpD,+
PrpR,prpD,+
Cra,prpE,-
CRP,prpE,+
PrpR,prpE,+
AscG,PrpR,-
CRP,PrpR,+
PhoB,PrpR,-
FliA,prs,+
PurR,prs,-
CpxR,psd,-
CRP,psiE,-
PhoB,psiE,+
PhoB,psiF,+
IHF,pspA,+
PspF,pspA,+
IHF,pspB,+
PspF,pspB,+
IHF,pspC,+
PspF,pspC,+
IHF,pspD,+
PspF,pspD,+
IHF,pspE,+
PspF,pspE,+
IHF,pspG,+
PspF,pspG,+
FNR,pstA,+
IHF,pstA,+
PhoB,pstA,+
FNR,pstB,+
IHF,pstB,+
PhoB,pstB,+
FNR,pstC,+
IHF,pstC,+
PhoB,pstC,+
FNR,pstS,+
IHF,pstS,+
PhoB,pstS,+
LexA,ptrA,-
ArcA,ptsG,-
CRP,ptsG,+
Fis,ptsG,-
Mlc,ptsG,-
SoxS,ptsG,+
Cra,ptsH,+
Cra,ptsH,-
CRP,ptsH,+
CRP,ptsH,-
Mlc,ptsH,-
NagC,ptsH,-
Cra,ptsI,+
Cra,ptsI,-
CRP,ptsI,-
CRP,ptsI,+
Mlc,ptsI,-
NagC,ptsI,-
GadE,purA,+
MarA,purA,-
PurR,purA,-
PurR,purB,-
PurR,purC,-
PhoP,purD,+
PurR,purD,-
RbsR,purD,-
PurR,purE,-
PurR,purF,-
PhoP,purH,+
PurR,purH,-
RbsR,purH,-
PurR,purK,-
PurR,purL,-
FNR,purM,-
PurR,purM,-
FNR,purN,-
PurR,purN,-
Fur,PurR,-
BasR,PutA,-
MarA,PutA,+
CRP,putP,-
PutA,putP,-
ArcA,puuA,-
FNR,puuA,-
PuuR,puuA,-
ArcA,puuB,-
CRP,puuB,-
PuuR,puuB,-
ArcA,puuC,-
CRP,puuC,-
PuuR,puuC,-
ArcA,puuD,-
CRP,puuD,-
PuuR,puuD,-
ArcA,puuE,-
CRP,puuE,-
PuuR,puuE,-
ArcA,puuP,-
FNR,puuP,-
PuuR,puuP,-
ArcA,PuuR,-
CRP,PuuR,-
Cra,pykF,-
Fur,pyrC,-
PurR,pyrC,-
Fis,pyrD,-
PurR,pyrD,-
BasR,QseB,+
BasR,qseC,+
QseB,qseC,+
Fis,queA,+
CRP,raiA,+
RcsB,rarA,+
ArgR,rbfA,-
CRP,rbfA,-
Fis,rbfA,+
CRP,rbsA,+
RbsR,rbsA,-
CRP,rbsB,+
RbsR,rbsB,-
CRP,rbsC,+
RbsR,rbsC,-
CRP,rbsD,+
RbsR,rbsD,-
CRP,rbsK,+
RbsR,rbsK,-
CRP,RbsR,+
RclR,rclA,+
RclR,rclB,+
RclR,rclC,+
Fur,rcnA,-
RcnR,rcnA,-
Fur,rcnB,-
RcnR,rcnB,-
GadE,rcsA,+
H-NS,rcsA,-
RcsAB,rcsA,+
H-NS,RcsB,-
H-NS,rcsD,-
CpxR,rdoA,+
LexA,recA,-
LexA,recB,-
FlhDC,recC,+
FliA,recC,+
LexA,recD,-
ArgP,recF,+
DnaA,recF,-
LexA,recN,-
LexA,recX,-
CRP,relA,+
HipAB,relA,-
HipB,relA,-
H-NS,relA,+
NtrC,relA,+
RelB-RelE,RelB,-
RelB,relE,-
RelB-RelE,relE,-
NsrR,rfe,-
NsrR,rffA,-
NsrR,rffC,-
NsrR,rffG,-
NsrR,rffH,-
NsrR,rffM,-
NsrR,rffT,-
CRP,rhaA,+
RhaS,rhaA,+
CRP,rhaB,+
RhaS,rhaB,+
CRP,rhaD,+
RhaS,rhaD,+
CRP,RhaR,+
RhaS,RhaR,+
CRP,RhaS,+
RhaR,RhaS,+
ArcA,rhaT,-
CRP,rhaT,+
RhaS,rhaT,+
SoxS,ribA,+
MarA,rimK,+
OxyR,rimK,-
Rob,rimK,+
SoxS,rimK,+
FNR,rimM,-
ArgR,rimP,-
CRP,rimP,-
Fis,rimP,+
CRP,rmf,+
IscR,rnlA,-
IscR,rnlB,-
CdaR,rnpB,+
Fis,rnpB,+
Fis,rnpB,-
FNR,rnpB,+
Fur,rnpB,-
H-NS,rnpB,-
MarA,Rob,-
SoxS,Rob,-
CRP,rof,-
AlsR,rpiB,-
AlsR,rpiR,-
ArcA,rplB,-
FNR,rplB,+
ArcA,rplC,-
FNR,rplC,+
ArcA,rplD,-
FNR,rplD,+
CRP,rplI,+
CRP,rplM,-
Fis,rplM,-
FNR,rplM,-
ArcA,rplP,-
FNR,rplP,+
FNR,rplS,-
FNR,rplT,-
NsrR,rplT,-
MlrA,rplU,+
ArcA,rplV,-
FNR,rplV,+
ArcA,rplW,-
FNR,rplW,+
MlrA,rpmA,+
ArcA,rpmC,-
FNR,rpmC,+
NsrR,rpmI,-
LexA,rpoD,-
CpxR,rpoE,-
CpxR,rpoH,+
CRP,rpoH,+
CRP,rpoH,-
CytR,rpoH,-
DnaA,rpoH,-
IHF,rpoH,+
ArcA,rpoS,-
Fur,rpoS,-
GadX,rpoS,+
MqsA,rpoS,-
CpxR,rprA,+
RcsB,rprA,+
ArcA,rpsC,-
FNR,rpsC,+
CRP,rpsF,+
CRP,rpsI,-
Fis,rpsI,-
FNR,rpsI,-
ArcA,rpsJ,-
FNR,rpsJ,+
ArgR,rpsO,-
CRP,rpsO,-
Fis,rpsO,+
FNR,rpsP,-
ArcA,rpsQ,-
FNR,rpsQ,+
CRP,rpsR,+
ArcA,rpsS,-
FNR,rpsS,+
LexA,rpsU,-
Fis,rrfA,+
Lrp,rrfA,-
Fis,rrfB,+
H-NS,rrfB,-
Lrp,rrfB,-
Fis,rrfC,+
H-NS,rrfC,-
Lrp,rrfC,-
Fis,rrfD,+
H-NS,rrfD,-
Lrp,rrfD,-
Fis,rrfE,+
Lrp,rrfE,-
Fis,rrfF,+
H-NS,rrfF,-
Lrp,rrfF,-
Fis,rrfG,+
H-NS,rrfG,-
Lrp,rrfG,-
Fis,rrfH,+
H-NS,rrfH,-
Lrp,rrfH,-
Fis,rrlA,+
Lrp,rrlA,-
Fis,rrlB,+
H-NS,rrlB,-
Lrp,rrlB,-
Fis,rrlC,+
H-NS,rrlC,-
Lrp,rrlC,-
Fis,rrlD,+
H-NS,rrlD,-
Lrp,rrlD,-
Fis,rrlE,+
Lrp,rrlE,-
Fis,rrlG,+
H-NS,rrlG,-
Lrp,rrlG,-
Fis,rrlH,+
H-NS,rrlH,-
Lrp,rrlH,-
Fis,rrsA,+
Lrp,rrsA,-
Fis,rrsB,+
H-NS,rrsB,-
Lrp,rrsB,-
Fis,rrsC,+
H-NS,rrsC,-
Lrp,rrsC,-
Fis,rrsD,+
H-NS,rrsD,-
Lrp,rrsD,-
Fis,rrsE,+
Lrp,rrsE,-
Fis,rrsG,+
H-NS,rrsG,-
Lrp,rrsG,-
Fis,rrsH,+
H-NS,rrsH,-
Lrp,rrsH,-
CpxR,rseA,-
CpxR,rseB,-
CpxR,rseC,-
Fis,rsmA,+
MraZ,rsmH,-
PdhR,rsmH,-
PhoP,RstA,+
PhoP,rstB,+
IHF,rtcA,+
RtcR,rtcA,+
IHF,rtcB,+
RtcR,rtcB,+
ArcA,rutA,+
NtrC,rutA,+
PhoP,rutA,+
RutR,rutA,-
ArcA,rutB,+
NtrC,rutB,+
PhoP,rutB,+
RutR,rutB,-
ArcA,rutC,+
NtrC,rutC,+
PhoP,rutC,+
RutR,rutC,-
ArcA,rutD,+
NtrC,rutD,+
PhoP,rutD,+
RutR,rutD,-
ArcA,rutE,+
NtrC,rutE,+
PhoP,rutE,+
RutR,rutE,-
ArcA,rutF,+
NtrC,rutF,+
PhoP,rutF,+
RutR,rutF,-
ArcA,rutG,+
NtrC,rutG,+
PhoP,rutG,+
RutR,rutG,-
LexA,ruvA,-
LexA,ruvB,-
MntR,rybA,-
NsrR,rybB,-
Fur,ryhB,-
EvgA,safA,+
PhoP,safA,-
RcsB,safA,+
YdeO,safA,-
PhoB,sbcC,-
PhoB,sbcD,-
CpxR,sbmA,+
CRP,sbmC,+
LexA,sbmC,-
Lrp,sdaA,-
ArcA,sdhA,+
ArcA,sdhA,-
CRP,sdhA,+
FNR,sdhA,-
Fur,sdhA,+
ArcA,sdhB,+
ArcA,sdhB,-
CRP,sdhB,+
FNR,sdhB,-
Fur,sdhB,+
ArcA,sdhC,+
ArcA,sdhC,-
CRP,sdhC,+
FNR,sdhC,-
Fur,sdhC,+
ArcA,sdhD,+
ArcA,sdhD,-
CRP,sdhD,+
FNR,sdhD,-
Fur,sdhD,+
CRP,secB,+
HU,seqA,-
CRP,serA,+
Lrp,serA,-
Lrp,serA,+
Nac,serA,-
CRP,serC,-
Lrp,serC,+
Fis,serT,+
Fis,serX,+
Cra,setA,-
SgrR,setA,+
CRP,sfsA,+
RcsB-BglJ,sfsB,+
CRP,sgbE,+
IHF,sgbE,+
YiaJ,sgbE,-
CRP,sgbH,+
IHF,sgbH,+
YiaJ,sgbH,-
CRP,sgbU,+
IHF,sgbU,+
YiaJ,sgbU,-
Cra,sgrS,-
SgrR,sgrS,+
Cra,sgrT,-
SgrR,sgrT,+
CpxR,skp,+
GadE,skp,+
GadE-RcsB,slp,+
GadW,slp,-
GadX,slp,+
H-NS,slp,-
MarA,slp,-
YdeO,slp,+
CpxR,slt,+
PhoP,slyB,+
PhoP,slyB,-
H-NS,smtA,+
ArcA,sodA,-
CRP,sodA,+
FNR,sodA,-
Fur,sodA,-
IHF,sodA,-
MarA,sodA,+
Rob,sodA,+
SoxS,sodA,+
CRP,sodB,-
IHF,sodB,-
NsrR,sodB,-
CRP,sohB,-
AcrR,SoxR,-
FNR,SoxR,-
Fur,SoxR,-
AcrR,SoxS,-
FNR,SoxS,-
Fur,SoxS,-
SoxR,SoxS,+
PurR,speA,-
PurR,speB,-
CRP,speC,-
CRP,spf,-
BaeR,spy,+
CpxR,spy,+
Fis,sra,+
IHF,sra,+
OmpR,sra,-
RcsB,sra,+
CRP,srlA,+
GutM,srlA,+
GutR,srlA,-
H-NS,srlA,+
CRP,srlB,+
GutM,srlB,+
GutR,srlB,-
H-NS,srlB,+
CRP,srlD,+
GutM,srlD,+
GutR,srlD,-
H-NS,srlD,+
CRP,srlE,+
GutM,srlE,+
GutR,srlE,-
H-NS,srlE,+
CRP,srlR,+
GutM,srlR,+
GutR,srlR,-
H-NS,srlR,+
SgrR,sroA,-
FlhDC,sroC,+
ArcA,sroD,-
CRP,sroD,+
FadR,sroD,-
ArcA,ssb,-
LexA,ssb,-
Fis,ssrS,+
Fis,ssrS,-
H-NS,ssrS,-
Lrp,ssrS,-
StpA,ssrS,-
Cbl,ssuA,+
CysB,ssuA,-
FNR,ssuA,+
IHF,ssuA,+
IHF,ssuA,-
Cbl,ssuB,+
CysB,ssuB,-
FNR,ssuB,+
IHF,ssuB,+
IHF,ssuB,-
Cbl,ssuC,+
CysB,ssuC,-
FNR,ssuC,+
IHF,ssuC,-
IHF,ssuC,+
Cbl,ssuD,+
CysB,ssuD,-
FNR,ssuD,+
IHF,ssuD,-
IHF,ssuD,+
Cbl,ssuE,+
CysB,ssuE,-
FNR,ssuE,+
IHF,ssuE,-
IHF,ssuE,+
H-NS,StpA,-
Lrp,StpA,+
ArcA,sucA,+
ArcA,sucA,-
CRP,sucA,+
FNR,sucA,-
Fur,sucA,+
IHF,sucA,-
ArcA,sucB,+
ArcA,sucB,-
CRP,sucB,+
FNR,sucB,-
Fur,sucB,+
IHF,sucB,-
ArcA,sucC,+
ArcA,sucC,-
CRP,sucC,+
FNR,sucC,-
Fur,sucC,+
IHF,sucC,-
ArcA,sucD,+
ArcA,sucD,-
CRP,sucD,+
FNR,sucD,-
Fur,sucD,+
IHF,sucD,-
Fur,sufA,-
IHF,sufA,+
IscR,sufA,+
NsrR,sufA,-
OxyR,sufA,+
Fur,sufB,-
IHF,sufB,+
IscR,sufB,+
NsrR,sufB,-
OxyR,sufB,+
Fur,sufC,-
IHF,sufC,+
IscR,sufC,+
NsrR,sufC,-
OxyR,sufC,+
Fur,sufD,-
IHF,sufD,+
IscR,sufD,+
NsrR,sufD,-
OxyR,sufD,+
Fur,sufE,-
IHF,sufE,+
IscR,sufE,+
NsrR,sufE,-
OxyR,sufE,+
Fur,sufS,-
IHF,sufS,+
IscR,sufS,+
NsrR,sufS,-
OxyR,sufS,+
LexA,sulA,-
RcdA,sulA,-
CRP,sxy,+
LexA,symE,-
NsrR,tadA,-
CreB,talA,+
CRP,tam,+
LsrR,tam,-
FliA,tap,+
FNR,tap,+
FliA,tar,+
FNR,tar,+
Cbl,tauA,+
CysB,tauA,+
Cbl,tauB,+
CysB,tauB,+
Cbl,tauC,+
CysB,tauC,+
Cbl,tauD,+
CysB,tauD,+
SgrR,tbpA,-
CsgD,tcyJ,-
FlhDC,tcyJ,+
FliA,tcyJ,+
H-NS,tcyJ,+
MatA,tcyJ,-
NsrR,tcyJ,-
SutR,tcyJ,-
CRP,TdcA,+
FNR,TdcA,+
IHF,TdcA,+
TdcR,TdcA,+
CRP,tdcB,+
FNR,tdcB,+
IHF,tdcB,+
TdcA,tdcB,+
TdcR,tdcB,+
CRP,tdcC,+
FNR,tdcC,+
IHF,tdcC,+
TdcA,tdcC,+
TdcR,tdcC,+
CRP,tdcD,+
FNR,tdcD,+
IHF,tdcD,+
TdcA,tdcD,+
TdcR,tdcD,+
CRP,tdcE,+
FNR,tdcE,+
IHF,tdcE,+
TdcA,tdcE,+
TdcR,tdcE,+
CRP,tdcF,+
FNR,tdcF,+
IHF,tdcF,+
TdcA,tdcF,+
TdcR,tdcF,+
CRP,tdcG,+
FNR,tdcG,+
IHF,tdcG,+
TdcA,tdcG,+
TdcR,tdcG,+
Lrp,tdh,+
NsrR,tehA,-
NsrR,tehB,-
Fur,tfaQ,-
SgrR,thiP,-
SgrR,thiQ,-
NsrR,thrS,-
Fis,thrT,+
Fis,thrU,+
Fis,thrV,+
H-NS,thrV,-
Lrp,thrV,-
Fis,thrW,+
LexA,tisB,-
PhoB,tktB,+
CRP,tnaA,+
TorR,tnaA,+
CRP,tnaB,+
TorR,tnaB,+
CRP,tnaC,+
TorR,tnaC,+
MarA,tolC,+
PhoP,tolC,+
Rob,tolC,+
SoxS,tolC,+
BasR,tomB,+
CpxR,tomB,+
PdhR,tomB,-
Fur,tonB,+
Fur,tonB,-
Fis,topA,+
Fis,topA,-
NarL,torA,-
TorR,torA,+
NarL,torC,-
TorR,torC,+
NarL,torD,-
TorR,torD,+
Cra,tpiA,-
Fis,tpr,+
ArcA,tpx,-
FNR,tpx,-
ArcA,treB,+
CRP,treB,-
TreR,treB,-
ArcA,treC,+
CRP,treC,-
TreR,treC,-
PhoP,TreR,-
CRP,trg,+
Fis,trg,+
FliA,trg,+
Fis,trmA,+
FNR,trmD,-
TrpR,trpA,-
TrpR,trpB,-
TrpR,trpC,-
TrpR,trpD,-
TrpR,trpE,-
TrpR,trpL,-
ArgR,truB,-
CRP,truB,-
Fis,truB,+
CRP,trxA,-
OxyR,trxC,+
NsrR,tsgA,-
CpxR,tsr,-
FliA,tsr,+
CytR,tsx,-
DeoR,tsx,-
Dan,ttdA,+
Dan,ttdB,+
Dan,ttdR,+
Dan,ttdT,+
Fis,tufB,+
FeaR,tynA,+
TyrR,tyrA,-
TyrR,tyrB,-
HU,tyrP,-
IHF,tyrP,-
TyrR,tyrP,+
TyrR,tyrP,-
Fis,tyrT,+
Fis,tyrU,+
Fis,tyrV,+
ArcA,ubiA,-
FNR,ubiA,-
IHF,ubiA,-
NarL,ubiA,-
ArcA,ubiC,-
FNR,ubiC,-
IHF,ubiC,-
NarL,ubiC,-
CRP,ubiG,+
PurR,ubiX,-
CRP,udp,+
CytR,udp,-
CRP,ugpA,+
PhoB,ugpA,+
PhoB,ugpA,-
CRP,ugpB,+
PhoB,ugpB,-
PhoB,ugpB,+
CRP,ugpC,+
PhoB,ugpC,+
PhoB,ugpC,-
CRP,ugpE,+
PhoB,ugpE,+
PhoB,ugpE,-
CRP,ugpQ,+
PhoB,ugpQ,+
PhoB,ugpQ,-
CRP,uhpT,+
UhpA,uhpT,+
UvrY,uhpT,+
CRP,uidA,+
UidR,uidA,-
UxuR,uidA,-
CRP,uidB,+
UidR,uidB,-
UxuR,uidB,-
CRP,uidC,+
UidR,uidC,-
UxuR,uidC,-
CRP,ulaA,+
IHF,ulaA,-
UlaR,ulaA,-
CRP,ulaB,+
IHF,ulaB,-
UlaR,ulaB,-
CRP,ulaC,+
IHF,ulaC,-
UlaR,ulaC,-
CRP,ulaD,+
IHF,ulaD,-
UlaR,ulaD,-
CRP,ulaE,+
IHF,ulaE,-
UlaR,ulaE,-
CRP,ulaF,+
IHF,ulaF,-
UlaR,ulaF,-
IHF,ulaG,-
UlaR,ulaG,-
NagC,umpH,-
LexA,umuC,-
LexA,umuD,-
CpxR,ung,-
OxyR,uof,+
SoxS,uof,+
FNR,upp,+
FNR,uraA,+
FadR,uspA,-
IHF,uspA,+
IHF,uspB,-
YdeO,uspD,+
GadX,uspE,+
ArcA,uvrA,-
LexA,uvrA,-
LexA,uvrB,-
LexA,uvrC,-
LexA,uvrD,-
LexA,UvrY,-
CRP,uxaA,+
ExuR,uxaA,-
FNR,uxaA,+
CRP,uxaB,+
ExuR,uxaB,-
CRP,uxaC,+
ExuR,uxaC,-
FNR,uxaC,+
CRP,uxuA,+
ExuR,uxuA,-
OxyR,uxuA,-
UxuR,uxuA,-
CRP,uxuB,+
ExuR,uxuB,-
OxyR,uxuB,-
UxuR,uxuB,-
CRP,UxuR,+
ExuR,UxuR,-
Fis,valT,+
Fis,valU,+
Fis,valX,+
Fis,valY,+
FliA,ves,+
NsrR,waaH,-
PhoB,waaH,+
MarA,waaY,+
SoxS,waaY,+
MarA,waaZ,+
SoxS,waaZ,+
RcsAB,wcaA,+
RcsAB,wcaB,+
NsrR,wecB,-
NsrR,wecC,-
CsgD,wrbA,+
RcsAB,wza,+
RcsAB,wzb,+
RcsAB,wzc,+
NsrR,wzxE,-
NsrR,wzyE,-
NsrR,wzzE,-
XapR,xapA,+
XapR,xapB,+
FNR,xdhA,+
FNR,xdhB,+
FNR,xdhC,+
CRP,xseA,-
AraC,xylA,-
CRP,xylA,+
XylR,xylA,+
AraC,xylB,-
CRP,xylB,+
XylR,xylB,+
CRP,xylF,+
Fis,xylF,-
XylR,xylF,+
CRP,xylG,+
