TF,Target,Regulation
FlhDC,ccmA,+
FNR,ccmA,+
ModE,ccmA,+
NarL,ccmA,-
NarP,ccmA,+
NarP,ccmA,-
FlhDC,ccmB,+
FNR,ccmB,+
ModE,ccmB,+
NarL,ccmB,-
NarP,ccmB,+
NarP,ccmB,-
FlhDC,ccmC,+
FNR,ccmC,+
ModE,ccmC,+
NarL,ccmC,-
NarP,ccmC,-
NarP,ccmC,+
FlhDC,ccmD,+
FNR,ccmD,+
ModE,ccmD,+
NarL,ccmD,-
NarP,ccmD,-
NarP,ccmD,+
FlhDC,ccmE,+
FNR,ccmE,+
ModE,ccmE,+
NarL,ccmE,-
NarP,ccmE,+
NarP,ccmE,-
FlhDC,ccmF,+
FNR,ccmF,+
ModE,ccmF,+
NarL,ccmF,-
NarP,ccmF,-
NarP,ccmF,+
FlhDC,ccmG,+
FNR,ccmG,+
ModE,ccmG,+
NarL,ccmG,-
NarP,ccmG,+
NarP,ccmG,-
FlhDC,ccmH,+
FNR,ccmH,+
ModE,ccmH,+
NarL,ccmH,-
NarP,ccmH,-
NarP,ccmH,+
CRP,cdd,+
CRP,cdd,-
CytR,cdd,-
NsrR,cdd,-
ChbR,chbA,+
ChbR,chbA,-
CRP,chbA,+
NagC,chbA,-
ChbR,chbB,-
ChbR,chbB,+
CRP,chbB,+
NagC,chbB,-
ChbR,chbC,+
ChbR,chbC,-
CRP,chbC,+
NagC,chbC,-
ChbR,chbF,+
ChbR,chbF,-
CRP,chbF,+
NagC,chbF,-
ChbR,chbG,+
ChbR,chbG,-
CRP,chbG,+
NagC,chbG,-
CRP,ChbR,+
NagC,ChbR,-
CpxR,cheA,-
FliA,cheA,+
FliA,cheB,+
FNR,cheB,+
FliA,cheR,+
FNR,cheR,+
CpxR,cheW,-
FliA,cheW,+
FliA,cheY,+
FNR,cheY,+
FliA,cheZ,+
FNR,cheZ,+
H-NS,chiA,-
CRP,chiP,+
NagC,chiP,-
LexA,cho,-
CRP,cirA,+
Fur,cirA,-
ArcA,citC,-
CRP,citC,-
DpiA,citC,+
FNR,citC,-
NarL,citC,-
ArcA,citD,-
CRP,citD,-
DpiA,citD,+
FNR,citD,-
NarL,citD,-
ArcA,citE,-
CRP,citE,-
DpiA,citE,+
FNR,citE,-
NarL,citE,-
ArcA,citF,-
CRP,citF,-
DpiA,citF,+
FNR,citF,-
NarL,citF,-
ArcA,citG,-
CRP,citG,-
DpiA,citG,+
FNR,citG,-
NarL,citG,-
ArcA,citX,-
CRP,citX,-
DpiA,citX,+
FNR,citX,-
NarL,citX,-
Nac,codA,+
PurR,codA,-
Nac,codB,+
PurR,codB,-
CRP,ComR,-
CueR,copA,+
CRP,cpdB,+
CpxR,cpxA,+
CpxR,cpxP,+
PhoB,Cra,-
NagC,creA,-
NagC,CreB,-
NagC,creC,-
CreB,creD,+
NagC,creD,-
FliA,crfC,+
Fur,crl,-
Cra,CRP,+
Fis,CRP,-
Cra,crr,+
Cra,crr,-
CRP,crr,-
CRP,crr,+
Mlc,crr,-
NagC,crr,-
CpxR,csgA,-
CsgD,csgA,+
FliZ,csgA,-
CpxR,csgB,-
CsgD,csgB,+
FliZ,csgB,-
CpxR,csgC,-
CsgD,csgC,+
FliZ,csgC,-
BasR,CsgD,+
CpxR,CsgD,-
Cra,CsgD,+
CRP,CsgD,+
FliZ,CsgD,-
IHF,CsgD,+
MlrA,CsgD,+
OmpR,CsgD,+
RcdA,CsgD,+
RcsAB,CsgD,-
RstA,CsgD,-
BasR,csgE,+
CpxR,csgE,-
Cra,csgE,+
CRP,csgE,+
CsgD,csgE,+
FliZ,csgE,-
IHF,csgE,+
MlrA,csgE,+
OmpR,csgE,+
RcdA,csgE,+
RcsAB,csgE,-
RstA,csgE,-
BasR,csgF,+
CpxR,csgF,-
Cra,csgF,+
CRP,csgF,+
CsgD,csgF,+
FliZ,csgF,-
IHF,csgF,+
MlrA,csgF,+
OmpR,csgF,+
RcdA,csgF,+
RcsAB,csgF,-
RstA,csgF,-
BasR,csgG,+
CpxR,csgG,-
Cra,csgG,+
CRP,csgG,+
CsgD,csgG,+
FliZ,csgG,-
IHF,csgG,+
MlrA,csgG,+
OmpR,csgG,+
RcdA,csgG,+
RcsAB,csgG,-
RstA,csgG,-
CRP,csiD,+
CsiR,csiD,-
H-NS,csiD,+
Lrp,csiD,+
CRP,csiE,+
H-NS,csiE,+
CRP,cspD,+
H-NS,cspD,+
MqsA,cspD,-
CRP,cspE,+
DinJ-YafQ,cspE,-
BasR,cspI,+
Fis,cspI,-
CRP,cstA,+
CueR,cueO,+
CusR,cusA,+
PhoB,cusA,+
YedW,cusA,+
CusR,cusB,+
PhoB,cusB,+
YedW,cusB,+
CusR,cusC,+
PhoB,cusC,+
YedW,cusC,+
CusR,cusF,+
PhoB,cusF,+
YedW,cusF,+
PhoB,CusR,+
YedW,CusR,+
CusR,cusS,+
PhoB,cusS,+
YedW,cusS,+
PurR,cvpA,-
CRP,cyaA,-
CpxR,cyaR,-
CRP,cyaR,+
ArcA,cydA,+
Cra,cydA,+
FNR,cydA,+
FNR,cydA,-
H-NS,cydA,-
HypT,cydA,+
ArcA,cydB,+
Cra,cydB,+
FNR,cydB,+
FNR,cydB,-
H-NS,cydB,-
HypT,cydB,+
ArcA,cydC,+
FNR,cydC,+
NarL,cydC,+
ArcA,cydD,+
FNR,cydD,+
NarL,cydD,+
CynR,cynS,+
CynR,cynT,+
CynR,cynX,+
ArcA,cyoA,-
Cra,cyoA,-
CRP,cyoA,+
CusR,cyoA,+
FNR,cyoA,-
Fur,cyoA,-
GadE,cyoA,+
PdhR,cyoA,-
YedW,cyoA,-
ArcA,cyoB,-
Cra,cyoB,-
CRP,cyoB,+
CusR,cyoB,+
FNR,cyoB,-
Fur,cyoB,-
GadE,cyoB,+
PdhR,cyoB,-
YedW,cyoB,-
ArcA,cyoC,-
Cra,cyoC,-
CRP,cyoC,+
CusR,cyoC,+
FNR,cyoC,-
Fur,cyoC,-
GadE,cyoC,+
PdhR,cyoC,-
YedW,cyoC,-
ArcA,cyoD,-
Cra,cyoD,-
CRP,cyoD,+
CusR,cyoD,+
FNR,cyoD,-
Fur,cyoD,-
GadE,cyoD,+
PdhR,cyoD,-
YedW,cyoD,-
ArcA,cyoE,-
Cra,cyoE,-
CRP,cyoE,+
CusR,cyoE,+
FNR,cyoE,-
Fur,cyoE,-
GadE,cyoE,+
PdhR,cyoE,-
YedW,cyoE,-
CysB,cysA,+
H-NS,cysA,-
PhoP,CysB,+
CysB,cysC,+
CysB,cysD,+
SutR,cysE,-
Cra,cysG,-
CRP,cysG,-
Fis,cysG,-
FNR,cysG,+
H-NS,cysG,-
IHF,cysG,-
IHF,cysG,+
NarL,cysG,+
NarP,cysG,+
CysB,cysH,+
HypT,cysH,+
IHF,cysH,+
CysB,cysI,+
IHF,cysI,+
CysB,cysJ,+
IHF,cysJ,+
CysB,cysK,+
CysB,cysM,+
H-NS,cysM,-
CysB,cysN,+
CysB,cysP,+
H-NS,cysP,-
CysB,cysU,+
H-NS,cysU,-
CysB,cysW,+
H-NS,cysW,-
CRP,dadA,+
Lrp,dadA,-
CRP,dadX,+
Lrp,dadX,-
ArgP,dapB,+
ArgP,dapD,+
ArcA,dctA,-
CRP,dctA,+
DcuR,dctA,+
GadE-RcsB,dctR,+
GadW,dctR,-
GadX,dctR,+
H-NS,dctR,-
MarA,dctR,-
YdeO,dctR,+
CRP,dcuA,+
FNR,dcuA,+
NarL,dcuA,-
CRP,dcuB,+
DcuR,dcuB,+
FNR,dcuB,+
NarL,dcuB,-
ArcA,dcuC,+
FNR,dcuC,+
IHF,dcuD,+
PhoP,dcuD,-
CRP,DcuR,+
FNR,DcuR,+
NarL,DcuR,-
FNR,dcuS,+
NarL,dcuS,-
LexA,ddlB,-
MraZ,ddlB,-
PdhR,ddlB,-
NtrC,ddpA,+
NtrC,ddpB,+
NtrC,ddpC,+
NtrC,ddpD,+
NtrC,ddpF,+
NtrC,ddpX,+
CpxR,degP,+
H-NS,degP,-
CRP,deoA,+
CytR,deoA,-
DeoR,deoA,-
Fis,deoA,+
ModE,deoA,-
CRP,deoB,+
CytR,deoB,-
DeoR,deoB,-
Fis,deoB,+
ModE,deoB,-
CRP,deoC,+
CytR,deoC,-
DeoR,deoC,-
Fis,deoC,+
ModE,deoC,-
CRP,deoD,+
CytR,deoD,-
DeoR,deoD,-
Fis,deoD,+
ModE,deoD,-
CsgD,dgcC,+
YjjQ,dgcN,-
CpxR,dgcZ,+
CysB,dgcZ,+
BasR,dgkA,+
DhaR,dhaK,+
DhaR,dhaL,+
DhaR,dhaM,+
DicA,dicB,-
DicA,dicC,-
LexA,dinB,-
LexA,dinD,-
LexA,dinF,-
LexA,dinG,-
LexA,dinI,-
NagC,dinI,-
DinJ-YafQ,dinJ,-
LexA,dinJ,-
LexA,dinQ,-
YqhC,dkgA,+
NsrR,dkgB,-
CRP,dksA,+
Fis,dmsA,-
FNR,dmsA,+
IHF,dmsA,-
ModE,dmsA,-
NarL,dmsA,-
Fis,dmsB,-
FNR,dmsB,+
IHF,dmsB,-
ModE,dmsB,-
